Name	Longitude	Latitude	Population	Foundation
Safajay	46.11583	55.38389	2017	1451
Petryaxy	46.04194	55.41278	878	1500
Krasnai	46.0411	55.3294	359	1500
Keche_Rbisha	45.7689	55.4233	878	1556
Zur_Rbisha	45.7708	55.4094	1788	1556
Kamka	45.2	55.5333	617	1578
Kyzyl_yar	45.5775	55.3932	140	1587
Shubino	45.3944	55.4722	564	1602
Endovishi	45.4581	55.3786	438	1604
Pitsa	45.29694	55.37944	330	1606
Urazovka	45.6217	55.3982	1626	1606
Kui_suy	45.69167	55.44528	322	1606
Poshat	45.5689	55.4667	403	1608
Griban	45.2172	55.4672	335	1609.5
Antyarovka	45.6042	55.4125	250	1609.5
Kuzminka	45.6111	55.4228	194	1609.5
Karga	45.4146	55.4116	238	1610
Suyk_su	45.5506	55.3311	366	1610
Kochkopojarki	45.4828	55.4914	512	1611
Semenotsi	45.59167	55.45139	535	1611
Makloka	45.5733	55.8094	1059	1611
Tukai	45.6255	55.7422	388	1611
Andreevka	45.5911	55.6861	334	1613
Isheevo	45.7044	55.7666	199	1613
Bazlovo	45.6852	55.755	377	1614
Urga	45.2378	55.7197	280	1617
Yana_Mochaley	45.9309	55.4161	584	1618
Anda	45.595	55.5978	212	1620
Iske_Mochaley	45.9365	55.4021	351	1636
Kadomka	45.6308	55.4239	4	1640
Chembiley	45.73278	55.33	392	1644
Yots_Kul	45.5102	55.412	158	1660
Aktuk	45.6372	55.3735	253	1667
Medyana	45.67667	55.29806	536	1674
